bookID,title,authors,average_rating,language_code,num_pages,text_reviews_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,27591
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,29221
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,244
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,36325
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,164
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,1
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,808
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,254
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,4080
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,460
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,253
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,195
13,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,9396
14,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,499
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,131
16,In a Sunburned Country,Bill Bryson,4.07,eng,335,4245
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,2211
18,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,2257
19,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,2238
20,Notes from a Small Island,Bill Bryson,3.91,eng,324,3301
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,2085
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,1550
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,91
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,13670
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216,140
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,46
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,6
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,59
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,12017
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,eng,48,2
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,334
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,0
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,16
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,4
35,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,111
36,The Changeling Sea,Patricia A. McKillip,4.06,eng,137,302
37,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,96
38,The Changeling,Kate Horsley,3.55,eng,339,43
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,12
40,The Known World,Edward P. Jones,3.83,eng,388,2626
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,12
42,The Known World,Edward P. Jones,3.83,eng,576,3
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,82
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,4
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,37
46,Uncommon Carriers,John McPhee,3.95,en-US,248,203
47,Heirs of General Practice,John McPhee,4.17,eng,128,22
48,The Control of Nature,John McPhee,4.24,en-US,288,305
49,Annals of the Former World,John McPhee,4.34,eng,720,228
50,Coming Into the Country,John McPhee,4.22,eng,448,261
51,La Place de la Concorde Suisse,John McPhee,3.92,fre,160,52
52,Giving Good Weight,John McPhee,4.23,eng,288,36
53,Rising from the Plains,John McPhee,4.23,eng,208,98
54,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,70
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,64
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,1
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,4
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,53
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,2
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,2257
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,5
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,6
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,659
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,8
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,4
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,166
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,568
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,2359
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,21
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,20
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,83
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,644
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,102
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,4551
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,13
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,1
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,16
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,0
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,9
80,eBay for Dummies,Marsha Collier,3.5,eng,386,9
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,0
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,4
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,0
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,1
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,3
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,4
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,5
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,2
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,1
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,1851
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,5696
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,309
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,3
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,726
